*Hour,Load
3474,6.66882
3475,4.94564
3476,2.22433
3477,5.52029
3478,4.83189
3479,4.03898
3480,3.12633
3481,3.13348
3482,2.86402
3483,2.65096
3484,2.57821
3485,2.54036
3486,2.58027
3487,2.65619
3488,2.82098
3489,3.05765
3490,3.14016
3491,3.22529
3492,3.30356
3493,3.34457
3494,3.23886
3495,3.35307
3496,3.3531
3497,3.31011
3498,3.41175
3499,3.33744
3500,3.32702
3501,3.32008
3502,3.27006
3503,3.0259
3504,2.76612
3505,2.5571
3506,2.45705
3507,2.41581
3508,2.36501
3509,2.21266
3510,2.2269
3511,2.43171
3512,2.59311
3513,2.77374
3514,3.13785
3515,3.32388
3516,3.23593
3517,3.06918
3518,2.81107
3519,3.00342
3520,3.21776
3521,3.38611
3522,3.31087
3523,3.39064
3524,3.31378
3525,3.39246
3526,3.31114
3527,3.07009
3528,2.76496
3529,2.61705
3530,2.55763
3531,2.45311
3532,2.37887
3533,2.35586
3534,2.40162
3535,2.50535
3536,2.66978
3537,2.85548
3538,2.88039
3539,2.92448
3540,2.95002
3541,3.41465
3542,3.47709
3543,3.2913
3544,3.15656
3545,3.33333
3546,3.4944
3547,3.38987
3548,3.35671
3549,3.39819
3550,3.32278
3551,3.09496
3552,2.55196
3553,2.54002
3554,2.39095
3555,2.32295
3556,2.2184
3557,2.10661
3558,2.20479
3559,2.26554
3560,2.40452
3561,2.53186
3562,2.53309
3563,2.49703
3564,2.48966
3565,2.54651
3566,2.52969
3567,2.66642
3568,2.8532
3569,3.06568
3570,3.27988
3571,3.30009
3572,3.23034
3573,3.18342
3574,3.09011
3575,2.78788
3576,2.46424
3577,2.30989
3578,2.1951
3579,2.14622
3580,2.09309
3581,2.09258
3582,2.16603
3583,2.33522
3584,2.47794
3585,2.57484
3586,2.60722
3587,2.54544
3588,2.59854
3589,2.62655
3590,2.70206
3591,2.87098
3592,3.07266
3593,3.28343
3594,3.46408
3595,3.50923
3596,3.40284
3597,3.27704
3598,3.07191
3599,2.75898
3600,2.6942
3601,2.22187
3602,2.13598
3603,2.09677
3604,2.08208
3605,2.06862
3606,2.33373
3607,2.52287
3608,2.68139
3609,2.79058
3610,2.82897
3611,2.96486
3612,3.08583
3613,3.24033
3614,3.39819
3615,3.63923
3616,3.92699
3617,4.23319
3618,4.44516
3619,4.45497
3620,4.29706
3621,4.0519
3622,3.71678
3623,3.29872
3624,2.97624
3625,2.63901
3626,2.48729
3627,2.39886
3628,2.3466
3629,2.32024
3630,2.39451
3631,2.57741
3632,2.76525
3633,2.86825
3634,2.88246
3635,3.1091
3636,3.37964
3637,3.65531
3638,3.93021
3639,4.28314
3640,4.63388
3641,4.88369
3642,5.11769
3643,5.10262
3644,4.71315
3645,4.39843
3646,3.98548
3647,3.5014
3648,3.08855
3649,2.86258
3650,2.68152
3651,2.59293
3652,2.5381
3653,2.5149
3654,2.58637
3655,2.70465
3656,2.85932
3657,3.06929
3658,3.18062
3659,3.39756
3660,3.50559
3661,3.80321
3662,4.09805
3663,4.39977
3664,4.83326
3665,5.08883
3666,5.20486
3667,5.22121
3668,4.82381
3669,4.39277
3670,3.92336
3671,3.53302
3672,3.04192
3673,2.851
3674,2.68367
3675,2.60362
3676,2.52619
3677,2.51058
3678,2.55744
3679,2.72437
3680,2.90929
3681,3.1355
3682,3.38399
3683,3.62316
3684,3.7327
3685,3.90213
3686,3.91117
3687,4.03537
3688,4.11622
3689,4.07122
3690,4.04588
3691,3.77596
3692,3.62105
3693,3.63986
3694,3.49656
3695,3.23084
3696,2.78573
3697,2.75608
3698,2.65146
3699,2.58029
3700,2.48644
3701,2.47173
3702,2.50555
3703,2.35812
3704,2.43223
3705,2.6525
3706,2.89538
3707,2.97429
3708,3.06756
3709,3.18965
3710,3.30574
3711,3.39331
3712,3.42093
3713,3.53966
3714,3.68014
3715,3.54299
3716,3.36981
3717,3.33929
3718,3.28667
3719,2.9728
3720,2.57272
3721,2.55301
3722,2.42421
3723,2.22235
3724,2.15706
3725,2.14152
3726,2.20269
3727,2.29528
3728,2.42278
3729,2.69044
3730,2.85612
3731,2.96479
3732,2.94918
3733,2.96597
3734,2.99211
3735,3.29748
3736,3.25589
3737,3.35154
3738,3.36266
3739,3.4075
3740,3.36782
3741,3.32707
3742,3.19259
3743,2.86522
3744,2.79172
3745,2.35791
3746,2.23351
3747,2.16459
3748,2.11945
3749,2.07244
3750,2.31215
3751,2.533
3752,2.75827
3753,2.96152
3754,3.00116
3755,3.00752
3756,3.10498
3757,3.30564
3758,3.57448
3759,3.76138
3760,4.07911
3761,4.33628
3762,4.70883
3763,4.80409
3764,4.56137
3765,4.32418
3766,3.91828
3767,3.39723
3768,3.00881
3769,2.72107
3770,2.53024
3771,2.52513
3772,2.46717
3773,2.43837
3774,2.52021
3775,2.67199
3776,2.83961
3777,3.04466
3778,3.0701
3779,3.35174
3780,3.53073
3781,3.88523
3782,4.1708
3783,4.49639
3784,4.64336
3785,4.86371
3786,4.96063
3787,5.06629
3788,4.77219
3789,4.36208
3790,3.93736
3791,3.45571
3792,3.18504
3793,2.7634
3794,2.61343
3795,2.54675
3796,2.46257
3797,2.40184
3798,2.54275
3799,2.71763
3800,2.82923
3801,3.15767
3802,3.22316
3803,3.32135
3804,3.48342
3805,3.79544
3806,4.17779
3807,4.54142
3808,4.96816
3809,5.2432
3810,5.38996
3811,5.45339
3812,5.18416
3813,4.72884
3814,4.27027
3815,3.74442
3816,3.45346
3817,2.99402
3818,2.79238
3819,2.71235
3820,2.60639
