"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","H2","84",0.00000,0.00000,11260.64397
"1","Li-Ion","85",55.63206,0.00000,434.71815
"1","Vanadium","85",0.00000,0.00000,0.00000
"1","PHS","85",0.00000,0.00000,0.00000
"1","H2","85",0.00000,0.00000,11260.64397
"1","Li-Ion","86",52.21278,0.00000,482.85595
"1","Vanadium","86",0.00000,0.00000,0.00000
"1","PHS","86",0.00000,0.00000,0.00000
"1","H2","86",0.00000,0.00000,11260.64397
"1","Li-Ion","87",0.00000,0.00000,482.85595
"1","Vanadium","87",0.00000,0.00000,0.00000
"1","PHS","87",0.00000,0.00000,0.00000
"1","H2","87",0.00000,0.00000,11260.64397
"1","Li-Ion","88",0.00000,0.00000,482.85595
"1","Vanadium","88",0.00000,0.00000,0.00000
"1","PHS","88",0.00000,0.00000,0.00000
"1","H2","88",0.00000,0.54780,11259.77782
"1","Li-Ion","89",0.00000,0.00000,482.85595
"1","Vanadium","89",0.00000,0.00000,0.00000
"1","PHS","89",0.00000,0.00000,0.00000
"1","H2","89",0.00000,22.36128,11224.42153
"1","Li-Ion","90",0.00000,0.00000,482.85595
"1","Vanadium","90",0.00000,0.00000,0.00000
"1","PHS","90",0.00000,0.00000,0.00000
"1","H2","90",0.00000,30.22265,11176.63533
"1","Li-Ion","91",0.00000,0.00000,482.85595
"1","Vanadium","91",0.00000,0.00000,0.00000
"1","PHS","91",0.00000,0.00000,0.00000
"1","H2","91",0.00000,0.00000,11176.63533
"1","Li-Ion","92",0.00000,0.00000,482.85595
"1","Vanadium","92",0.00000,0.00000,0.00000
"1","PHS","92",0.00000,0.00000,0.00000
"1","H2","92",0.00000,0.00000,11176.63533
"1","Li-Ion","93",0.00000,0.00000,482.85595
"1","Vanadium","93",0.00000,0.00000,0.00000
"1","PHS","93",0.00000,0.00000,0.00000
"1","H2","93",0.00000,0.00000,11176.63533
"1","Li-Ion","94",0.00000,0.00000,482.85595
"1","Vanadium","94",0.00000,0.00000,0.00000
"1","PHS","94",0.00000,0.00000,0.00000
"1","H2","94",0.00000,0.00000,11176.63533
"1","Li-Ion","95",0.00000,0.00000,482.85595
"1","Vanadium","95",0.00000,0.00000,0.00000
"1","PHS","95",0.00000,0.00000,0.00000
"1","H2","95",0.00000,0.00000,11176.63533
"1","Li-Ion","96",0.00000,0.00000,482.85595
"1","Vanadium","96",0.00000,0.00000,0.00000
"1","PHS","96",0.00000,0.00000,0.00000
"1","H2","96",0.00000,0.00000,11176.63533
"1","Li-Ion","97",0.00000,0.00000,482.85595
"1","Vanadium","97",0.00000,0.00000,0.00000
"1","PHS","97",0.00000,0.00000,0.00000
"1","H2","97",0.00000,0.00000,11176.63533
"1","Li-Ion","98",0.00000,0.00000,482.85595
"1","Vanadium","98",0.00000,0.00000,0.00000
"1","PHS","98",0.00000,0.00000,0.00000
"1","H2","98",0.00000,0.00000,11176.63533
"1","Li-Ion","99",0.00000,0.00000,482.85595
"1","Vanadium","99",0.00000,0.00000,0.00000
"1","PHS","99",0.00000,0.00000,0.00000
"1","H2","99",0.00000,0.00000,11176.63533
"1","Li-Ion","100",0.00000,0.00000,482.85595
"1","Vanadium","100",0.00000,0.00000,0.00000
"1","PHS","100",0.00000,0.00000,0.00000
"1","H2","100",0.00000,0.00000,11176.63533
"1","Li-Ion","101",0.00000,0.00000,482.85595
"1","Vanadium","101",0.00000,0.00000,0.00000
"1","PHS","101",0.00000,0.00000,0.00000
"1","H2","101",0.00000,0.00000,11176.63533
"1","Li-Ion","102",0.00000,0.00000,482.85595
"1","Vanadium","102",0.00000,0.00000,0.00000
"1","PHS","102",0.00000,0.00000,0.00000
"1","H2","102",0.00000,0.00000,11176.63533
"1","Li-Ion","103",0.00000,0.00000,482.85595
"1","Vanadium","103",0.00000,0.00000,0.00000
"1","PHS","103",0.00000,0.00000,0.00000
"1","H2","103",0.00000,0.00000,11176.63533
"1","Li-Ion","104",0.00000,0.00000,482.85595
"1","Vanadium","104",0.00000,0.00000,0.00000
"1","PHS","104",0.00000,0.00000,0.00000
"1","H2","104",0.00000,11.29948,11158.76928
"1","Li-Ion","105",0.00000,0.00000,482.85595
"1","Vanadium","105",0.00000,0.00000,0.00000
"1","PHS","105",0.00000,0.00000,0.00000
"1","H2","105",0.00000,28.67864,11113.42438
"1","Li-Ion","106",0.00000,0.00000,482.85595
"1","Vanadium","106",0.00000,0.00000,0.00000
"1","PHS","106",0.00000,0.00000,0.00000
"1","H2","106",0.00000,34.33103,11059.14226
"1","Li-Ion","107",0.00000,31.01632,449.21403
"1","Vanadium","107",0.00000,0.00000,0.00000
"1","PHS","107",0.00000,0.00000,0.00000
"1","H2","107",0.00000,3.91471,11052.95256
"1","Li-Ion","108",0.00000,0.00000,449.21403
"1","Vanadium","108",0.00000,0.00000,0.00000
"1","PHS","108",0.00000,0.00000,0.00000
"1","H2","108",0.00000,0.00000,11052.95256
"1","Li-Ion","109",12.50216,0.00000,460.74046
"1","Vanadium","109",0.00000,0.00000,0.00000
"1","PHS","109",0.00000,0.00000,0.00000
"1","H2","109",0.00000,0.00000,11052.95256
"1","Li-Ion","110",23.98762,0.00000,482.85595
"1","Vanadium","110",0.00000,0.00000,0.00000
"1","PHS","110",0.00000,0.00000,0.00000
"1","H2","110",0.00000,0.00000,11052.95256
"1","Li-Ion","111",0.00000,0.00000,482.85595
"1","Vanadium","111",0.00000,0.00000,0.00000
"1","PHS","111",0.00000,0.00000,0.00000
"1","H2","111",0.00000,0.00000,11052.95256
"1","Li-Ion","112",0.00000,0.00000,482.85595
"1","Vanadium","112",0.00000,0.00000,0.00000
"1","PHS","112",0.00000,0.00000,0.00000
"1","H2","112",0.00000,0.00000,11052.95256
"1","Li-Ion","113",0.00000,0.00000,482.85595
"1","Vanadium","113",0.00000,0.00000,0.00000
"1","PHS","113",0.00000,0.00000,0.00000
"1","H2","113",0.00000,44.23103,10983.01716
"1","Li-Ion","114",0.00000,0.00000,482.85595
"1","Vanadium","114",0.00000,0.00000,0.00000
"1","PHS","114",0.00000,0.00000,0.00000
"1","H2","114",0.00000,47.83103,10907.38967
"1","Li-Ion","115",0.00000,0.00000,482.85595
"1","Vanadium","115",0.00000,0.00000,0.00000
"1","PHS","115",0.00000,0.00000,0.00000
"1","H2","115",0.00000,46.43103,10833.97577
"1","Li-Ion","116",0.00000,0.00000,482.85595
"1","Vanadium","116",0.00000,0.00000,0.00000
"1","PHS","116",0.00000,0.00000,0.00000
"1","H2","116",0.00000,42.01916,10767.53765
"1","Li-Ion","117",0.00000,0.00000,482.85595
"1","Vanadium","117",0.00000,0.00000,0.00000
"1","PHS","117",0.00000,0.00000,0.00000
"1","H2","117",0.00000,34.32138,10713.27079
"1","Li-Ion","118",0.00000,0.00000,482.85595
"1","Vanadium","118",0.00000,0.00000,0.00000
"1","PHS","118",0.00000,0.00000,0.00000
"1","H2","118",0.00000,34.53103,10658.67245
"1","Li-Ion","119",0.00000,0.00000,482.85595
"1","Vanadium","119",0.00000,0.00000,0.00000
"1","PHS","119",0.00000,0.00000,0.00000
"1","H2","119",0.00000,27.62403,10614.99503
"1","Li-Ion","120",0.00000,0.00000,482.85595
"1","Vanadium","120",0.00000,0.00000,0.00000
"1","PHS","120",0.00000,0.00000,0.00000
"1","H2","120",0.00000,18.86036,10585.17417
"1","Li-Ion","121",0.00000,0.00000,482.85595
"1","Vanadium","121",0.00000,0.00000,0.00000
"1","PHS","121",0.00000,0.00000,0.00000
"1","H2","121",0.00000,17.03103,10558.24576
"1","Li-Ion","122",0.00000,0.00000,482.85595
"1","Vanadium","122",0.00000,0.00000,0.00000
"1","PHS","122",0.00000,0.00000,0.00000
"1","H2","122",0.00000,12.98422,10537.71590
"1","Li-Ion","123",0.00000,0.00000,482.85595
"1","Vanadium","123",0.00000,0.00000,0.00000
"1","PHS","123",0.00000,0.00000,0.00000
"1","H2","123",0.00000,0.00000,10537.71590
"1","Li-Ion","124",0.00000,0.00000,482.85595
"1","Vanadium","124",0.00000,0.00000,0.00000
"1","PHS","124",0.00000,0.00000,0.00000
"1","H2","124",0.00000,3.54659,10532.10826
"1","Li-Ion","125",0.00000,0.00000,482.85595
"1","Vanadium","125",0.00000,0.00000,0.00000
"1","PHS","125",0.00000,0.00000,0.00000
"1","H2","125",0.00000,4.46044,10525.05568
"1","Li-Ion","126",0.00000,0.00000,482.85595
"1","Vanadium","126",0.00000,0.00000,0.00000
"1","PHS","126",0.00000,0.00000,0.00000
"1","H2","126",0.00000,0.00000,10525.05568
"1","Li-Ion","127",0.00000,0.00000,482.85595
"1","Vanadium","127",0.00000,0.00000,0.00000
"1","PHS","127",0.00000,0.00000,0.00000
"1","H2","127",0.00000,0.00000,10525.05568
"1","Li-Ion","128",0.00000,0.00000,482.85595
"1","Vanadium","128",0.00000,0.00000,0.00000
"1","PHS","128",0.00000,0.00000,0.00000
"1","H2","128",0.00000,0.00000,10525.05568
"1","Li-Ion","129",0.00000,0.00000,482.85595
"1","Vanadium","129",0.00000,0.00000,0.00000
"1","PHS","129",0.00000,0.00000,0.00000
"1","H2","129",0.00000,13.98702,10502.94027
"1","Li-Ion","130",0.00000,0.00000,482.85595
"1","Vanadium","130",0.00000,0.00000,0.00000
"1","PHS","130",0.00000,0.00000,0.00000
"1","H2","130",0.00000,22.97839,10466.60824
"1","Li-Ion","131",0.00000,23.14850,457.74788
"1","Vanadium","131",0.00000,0.00000,0.00000
"1","PHS","131",0.00000,0.00000,0.00000
"1","H2","131",0.00000,17.04416,10439.65906
"1","Li-Ion","132",0.00000,0.00000,457.74788
"1","Vanadium","132",0.00000,0.00000,0.00000
"1","PHS","132",0.00000,0.00000,0.00000
"1","H2","132",0.00000,0.00000,10439.65906
"1","Li-Ion","133",5.64445,0.00000,462.95181
"1","Vanadium","133",0.00000,0.00000,0.00000
"1","PHS","133",0.00000,0.00000,0.00000
"1","H2","133",0.00000,0.00000,10439.65906
"1","Li-Ion","134",21.58907,0.00000,482.85595
"1","Vanadium","134",0.00000,0.00000,0.00000
"1","PHS","134",0.00000,0.00000,0.00000
"1","H2","134",0.00000,0.00000,10439.65906
"1","Li-Ion","135",0.00000,0.00000,482.85595
"1","Vanadium","135",0.00000,0.00000,0.00000
"1","PHS","135",0.00000,0.00000,0.00000
"1","H2","135",0.00000,0.00000,10439.65906
"1","Li-Ion","136",0.00000,0.00000,482.85595
"1","Vanadium","136",0.00000,0.00000,0.00000
"1","PHS","136",0.00000,0.00000,0.00000
"1","H2","136",0.00000,0.01941,10439.62837
"1","Li-Ion","137",0.00000,0.00000,482.85595
"1","Vanadium","137",0.00000,0.00000,0.00000
"1","PHS","137",0.00000,0.00000,0.00000
