start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
105,H2,200,6712.124072132646,6712.124072132646,0.0,0.0
106,Li-Ion,201,0.0,0.0,0.0,0.0
106,H2,201,6712.124072132646,6711.092483672629,1.031588460016792,1031.588460016792
107,Li-Ion,202,0.0,0.0,0.0,0.0
107,H2,202,6712.124072132646,6704.4517005862745,7.672371546371323,7672.371546371323
108,Li-Ion,203,0.0,0.0,0.0,0.0
108,H2,203,6712.124072132646,6694.648639839755,17.475432292891128,17475.432292891128
109,Li-Ion,204,0.0,0.0,0.0,0.0
109,H2,204,6712.124072132646,6684.2131235612005,27.91094857144526,27910.94857144526
110,Li-Ion,205,0.0,0.0,0.0,0.0
110,H2,205,6712.124072132646,6672.987037867604,39.13703426504162,39137.03426504162
111,Li-Ion,206,0.0,0.0,0.0,0.0
111,H2,206,6712.124072132646,6662.077179940022,50.046892192624,50046.892192624
112,Li-Ion,207,0.0,0.0,0.0,0.0
112,H2,207,6712.124072132646,6650.692980363416,61.43109176923008,61431.09176923008
113,Li-Ion,208,0.0,0.0,0.0,0.0
113,H2,208,6712.124072132646,6562.745568035774,149.37850409687144,149378.50409687145
114,Li-Ion,209,0.0,0.0,0.0,0.0
114,H2,209,6712.124072132646,6468.473600387794,243.65047174485153,243650.47174485153
115,Li-Ion,210,0.0,0.0,0.0,0.0
115,H2,210,6712.124072132646,6457.563742460213,254.560329672433,254560.329672433
116,Li-Ion,211,0.0,0.0,0.0,0.0
116,H2,211,6712.124072132646,6371.8124318938035,340.3116402388423,340311.6402388423
117,Li-Ion,212,0.0,0.0,0.0,0.0
117,H2,212,6712.124072132646,6299.276158711827,412.84791342081917,412847.91342081915
118,Li-Ion,213,0.0,0.0,0.0,0.0
118,H2,213,6712.124072132646,6224.768426439897,487.355645692749,487355.645692749
119,Li-Ion,214,0.0,0.0,0.0,0.0
119,H2,214,6712.124072132646,6159.932514504904,552.1915576277415,552191.5576277415
120,Li-Ion,215,0.0,0.0,0.0,0.0
120,H2,215,6712.124072132646,6107.580436829072,604.5436353035739,604543.6353035739
121,Li-Ion,216,0.0,0.0,0.0,0.0
121,H2,216,6712.124072132646,6092.875845709288,619.2482264233577,619248.2264233576
122,Li-Ion,217,0.0,0.0,0.0,0.0
122,H2,217,6712.124072132646,6048.532839243831,663.5912328888144,663591.2328888144
123,Li-Ion,218,0.0,0.0,0.0,0.0
123,H2,218,6712.124072132646,6034.618817539091,677.505254593555,677505.254593555
124,Li-Ion,219,0.0,0.0,0.0,0.0
124,H2,219,6712.124072132646,6021.81159301541,690.3124791172359,690312.4791172359
125,Li-Ion,220,0.0,0.0,0.0,0.0
125,H2,220,6712.124072132646,5995.466660349712,716.6574117829341,716657.4117829341
