"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Vanadium","65",0.00000,0.00000,0.00000
"1","PHS","65",0.00000,0.00000,0.00000
"1","H2","65",0.00000,0.00000,0.00000
"1","Li-Ion","66",0.00000,0.00000,0.00000
"1","Vanadium","66",0.00000,0.00000,0.00000
"1","PHS","66",0.00000,0.00000,0.00000
"1","H2","66",0.00000,0.00000,0.00000
"1","Li-Ion","67",0.00000,0.00000,0.00000
"1","Vanadium","67",0.00000,0.00000,0.00000
"1","PHS","67",0.00000,0.00000,0.00000
"1","H2","67",0.00000,0.00000,0.00000
"1","Li-Ion","68",0.00000,0.00000,0.00000
"1","Vanadium","68",0.00000,0.00000,0.00000
"1","PHS","68",0.00000,0.00000,0.00000
"1","H2","68",0.00000,0.00000,0.00000
"1","Li-Ion","69",0.00000,0.00000,0.00000
"1","Vanadium","69",0.00000,0.00000,0.00000
"1","PHS","69",0.00000,0.00000,0.00000
"1","H2","69",0.00000,0.00000,0.00000
"1","Li-Ion","70",0.00000,0.00000,0.00000
"1","Vanadium","70",0.00000,0.00000,0.00000
"1","PHS","70",0.00000,0.00000,0.00000
"1","H2","70",0.00000,0.00000,0.00000
"1","Li-Ion","71",0.00000,0.00000,0.00000
"1","Vanadium","71",0.00000,0.00000,0.00000
"1","PHS","71",0.00000,0.00000,0.00000
"1","H2","71",0.00000,0.00000,0.00000
"1","Li-Ion","72",0.00000,0.00000,0.00000
"1","Vanadium","72",0.00000,0.00000,0.00000
"1","PHS","72",0.00000,0.00000,0.00000
"1","H2","72",0.00000,0.00000,0.00000
"1","Li-Ion","73",0.00000,0.00000,0.00000
"1","Vanadium","73",0.00000,0.00000,0.00000
"1","PHS","73",0.00000,0.00000,0.00000
"1","H2","73",0.00000,0.00000,0.00000
"1","Li-Ion","74",0.00000,0.00000,0.00000
"1","Vanadium","74",0.00000,0.00000,0.00000
"1","PHS","74",0.00000,0.00000,0.00000
"1","H2","74",0.00000,0.00000,0.00000
"1","Li-Ion","75",0.00000,0.00000,0.00000
"1","Vanadium","75",0.00000,0.00000,0.00000
"1","PHS","75",0.00000,0.00000,0.00000
"1","H2","75",0.00000,0.00000,0.00000
"1","Li-Ion","76",0.00000,0.00000,0.00000
"1","Vanadium","76",0.00000,0.00000,0.00000
"1","PHS","76",0.00000,0.00000,0.00000
"1","H2","76",0.00000,0.00000,0.00000
"1","Li-Ion","77",0.00000,0.00000,0.00000
"1","Vanadium","77",0.00000,0.00000,0.00000
"1","PHS","77",0.00000,0.00000,0.00000
"1","H2","77",0.00000,0.00000,0.00000
"1","Li-Ion","78",0.00000,0.00000,0.00000
"1","Vanadium","78",0.00000,0.00000,0.00000
"1","PHS","78",0.00000,0.00000,0.00000
"1","H2","78",0.00000,0.00000,0.00000
"1","Li-Ion","79",0.00000,0.00000,0.00000
"1","Vanadium","79",0.00000,0.00000,0.00000
"1","PHS","79",0.00000,0.00000,0.00000
"1","H2","79",0.00000,0.00000,0.00000
"1","Li-Ion","80",0.00000,0.00000,0.00000
"1","Vanadium","80",0.00000,0.00000,0.00000
"1","PHS","80",0.00000,0.00000,0.00000
"1","H2","80",0.00000,0.00000,0.00000
"1","Li-Ion","81",0.00000,0.00000,0.00000
"1","Vanadium","81",0.00000,0.00000,0.00000
"1","PHS","81",0.00000,0.00000,0.00000
"1","H2","81",0.00000,0.00000,0.00000
"1","Li-Ion","82",0.00000,0.00000,0.00000
